District,district_name,productivity_index,nic3_code,nic3_name,rank
2701,Nandurbar,219.35283,131,"Spinning, weaving and finishing of textiles",1
2701,Nandurbar,29.054832,107,Manufacture of other food products,2
2701,Nandurbar,21.092592,191,Manufacture of coke oven products,3
2701,Nandurbar,20.615332,390,Remediation activities and other waste management services,4
2701,Nandurbar,13.676409,351,"Electric power generation, transmission and distribution",5
2701,Nandurbar,12.975997,170,Manufacture of paper and paper products,6
2701,Nandurbar,11.84355,108,Manufacture of prepared animal feeds,7
2701,Nandurbar,10.826522,641,Monetary intermediation,8
2701,Nandurbar,9.1117125,104,Manufacture of vegetable and animal oils and fats,9
2701,Nandurbar,8.9886103,721,"Research  and  experimental  dev.  on natural sci. , engineering",10
2702,Dhule,62.621113,104,Manufacture of vegetable and animal oils and fats,1
2702,Dhule,34.159481,91,Support activities for petroleum and natural gas mining,2
2702,Dhule,25.173632,351,"Electric power generation, transmission and distribution",3
2702,Dhule,24.866282,802,Security systems service activities,4
2702,Dhule,22.405235,139,Manufacture of other textiles,5
2702,Dhule,21.76425,261,Manufacture of electronic components,6
2702,Dhule,19.245768,108,Manufacture of prepared animal feeds,7
2702,Dhule,14.884459,812,Cleaning activities,8
2702,Dhule,13.981799,641,Monetary intermediation,9
2702,Dhule,13.974843,801,Private security activities,10
2703,Jalgaon,88.124138,292,Manufacture of bodies (coachwork) for motor vehicles; trailers …,1
2703,Jalgaon,65.493607,120,Manufacture of tobacco products,2
2703,Jalgaon,50.252106,282,Manufacture of special-purpose machinery,3
2703,Jalgaon,42.696495,108,Manufacture of prepared animal feeds,4
2703,Jalgaon,24.462608,274,Manufacture of electric lighting equipment,5
2703,Jalgaon,22.9042,351,"Electric power generation, transmission and distribution",6
2703,Jalgaon,22.44565,201,"Manufacture of basic chemicals, fertilizer …",7
2703,Jalgaon,22.291191,491,Transport via railways,8
2703,Jalgaon,22.107395,202,Manufacture of other chemical products,9
2703,Jalgaon,21.591717,192,Manufacture of refined petroleum products,10
2704,Buldana,43.505684,332,Installation of industrial machinery and equipment,1
2704,Buldana,34.489239,192,Manufacture of refined petroleum products,2
2704,Buldana,30.219843,131,"Spinning, weaving and finishing of textiles",3
2704,Buldana,23.233912,107,Manufacture of other food products,4
2704,Buldana,22.649109,267,Manufacture of optical instruments and equipment,5
2704,Buldana,17.014143,239,Manufacture of non-metallic mineral products n.e.c.,6
2704,Buldana,15.74838,170,Manufacture of paper and paper products,7
2704,Buldana,15.267619,251,"Manufacture of structural metal products, tanks, reservoirs …",8
2704,Buldana,10.860678,353,Steam and air conditioning supply,9
2704,Buldana,10.847872,941,"Activities   of   business,   employers,  prof.  membership org.",10
2705,Akola,80.690735,493,Transport via pipeline,1
2705,Akola,44.404331,351,"Electric power generation, transmission and distribution",2
2705,Akola,22.94961,210,"Manufacture of pharmaceuticals, medicinal chemical …",3
2705,Akola,20.208488,281,Manufacture of general purpose machinery,4
2705,Akola,13.694566,279,Manufacture of other electrical equipment,5
2705,Akola,12.808223,131,"Spinning, weaving and finishing of textiles",6
2705,Akola,12.771165,370,Sewerage,7
2705,Akola,12.120155,222,Manufacture of plastics products,8
2705,Akola,11.934044,181,Printing and service activities related to printing,9
2705,Akola,11.464047,353,Steam and air conditioning supply,10
2706,Washim,22.687742,522,Support activities for transportation,1
2706,Washim,20.067982,202,Manufacture of other chemical products,2
2706,Washim,18.858038,653,Pension funding,3
2706,Washim,13.974639,99,Support activities for other mining and quarrying,4
2706,Washim,13.274161,351,"Electric power generation, transmission and distribution",5
2706,Washim,11.688593,619,Other telecommunications activities,6
2706,Washim,10.15373,802,Security systems service activities,7
2706,Washim,9.7250462,421,Construction of roads and railways,8
2706,Washim,9.4782333,641,Monetary intermediation,9
2706,Washim,8.7329197,451,Sale of motor vehicles,10
2707,Amravati,65.16407,353,Steam and air conditioning supply,1
2707,Amravati,61.318821,131,"Spinning, weaving and finishing of textiles",2
2707,Amravati,25.680412,782,Temporary employment agency activities,3
2707,Amravati,24.15905,264,Manufacture of consumer electronics,4
2707,Amravati,21.067083,783,"Human resources provision, management of human resources func.",5
2707,Amravati,20.161421,351,"Electric power generation, transmission and distribution",6
2707,Amravati,12.593404,466,Other specialized wholesale,7
2707,Amravati,12.40836,62,Extraction of natural gas,8
2707,Amravati,11.219605,241,Manufacture of basic iron and steel,9
2707,Amravati,8.9462633,360,"Water collection, treatment and supply",10
2708,Wardha,41.111771,16,Support activities to agriculture and post-harvest crop activities,1
