District,district_name,specialisation_index,nic3_code,nic3_name,rank
2701,Nandurbar,.056777019,110,Manufacture of beverages,1
2701,Nandurbar,.032957055,479,"Retail trade not in stores, stalls or markets",2
2701,Nandurbar,.027383368,323,Manufacture of sports goods,3
2701,Nandurbar,.027128428,21,Silviculture and other forestry activities,4
2701,Nandurbar,.025962045,104,Manufacture of vegetable and animal oils and fats,5
2701,Nandurbar,.024566749,741,Specialized design activities,6
2701,Nandurbar,.023209855,101,Processing and preserving of meat,7
2701,Nandurbar,.020576132,103,Processing and preserving of fruit and vegetables,8
2701,Nandurbar,.020413006,881,"Social work activities without accom. for the elderly, disabled",9
2701,Nandurbar,.017708071,108,Manufacture of prepared animal feeds,10
2702,Dhule,.14457038,104,Manufacture of vegetable and animal oils and fats,1
2702,Dhule,.054034922,22,Logging,2
2702,Dhule,.046040982,108,Manufacture of prepared animal feeds,3
2702,Dhule,.04473304,21,Silviculture and other forestry activities,4
2702,Dhule,.036273707,106,"Manufacture of grain mill products, starches and starch products",5
2702,Dhule,.035063114,91,Support activities for petroleum and natural gas mining,6
2702,Dhule,.03014479,881,"Social work activities without accom. for the elderly, disabled",7
2702,Dhule,.028605357,351,"Electric power generation, transmission and distribution",8
2702,Dhule,.028456319,139,Manufacture of other textiles,9
2702,Dhule,.0282136,454,"Sale,  maintenance  and  repair  of  motorcycles; related parts ...",10
2703,Jalgaon,.12328546,932,Other amusement and recreation activities,1
2703,Jalgaon,.11688676,649,"Other financial service activities, except insurance, pension ….",2
2703,Jalgaon,.10852516,108,Manufacture of prepared animal feeds,3
2703,Jalgaon,.090197518,292,Manufacture of bodies (coachwork) for motor vehicles; trailers …,4
2703,Jalgaon,.089437693,471,Retail sale in non-specialized stores,5
2703,Jalgaon,.087398373,774,Leasing of nonfinancial intangible assets,6
2703,Jalgaon,.083333336,23,Gathering of non-wood forest products,7
2703,Jalgaon,.083073653,479,"Retail trade not in stores, stalls or markets",8
2703,Jalgaon,.080222934,491,Transport via railways,9
2703,Jalgaon,.076185398,469,Non-specialized wholesale trade,10
2704,Buldana,.22077294,332,Installation of industrial machinery and equipment,1
2704,Buldana,.1963464,522,Support activities for transportation,2
2704,Buldana,.16640028,469,Non-specialized wholesale trade,3
2704,Buldana,.13006166,105,Manufacture of dairy products,4
2704,Buldana,.090766825,61,Extraction of crude petroleum,5
2704,Buldana,.077513263,81,"Quarrying of stone, sand and clay",6
2704,Buldana,.073529407,266,"Manufacture   of   irradiation,   electromedical  …",7
2704,Buldana,.058830403,471,Retail sale in non-specialized stores,8
2704,Buldana,.054718297,799,Other reservation service activities,9
2704,Buldana,.053452116,749,"Other professional, scientific and technical activities n.e.c.",10
2705,Akola,.46592844,493,Transport via pipeline,1
2705,Akola,.38968939,16,Support activities to agriculture and post-harvest crop activities,2
2705,Akola,.2645435,17,"Hunting, trapping and related service activities",3
2705,Akola,.25454545,21,Silviculture and other forestry activities,4
2705,Akola,.15447155,774,Leasing of nonfinancial intangible assets,5
2705,Akola,.15420009,22,Logging,6
2705,Akola,.090909086,71,Mining of iron ores,7
2705,Akola,.08055976,52,Mining of lignite,8
2705,Akola,.071009077,592,Sound recording and music publishing activities,9
2705,Akola,.070882559,370,Sewerage,10
2706,Washim,.070707068,99,Support activities for other mining and quarrying,1
2706,Washim,.068501927,191,Manufacture of coke oven products,2
2706,Washim,.045144804,493,Transport via pipeline,3
2706,Washim,.045038357,749,"Other professional, scientific and technical activities n.e.c.",4
2706,Washim,.038461536,653,Pension funding,5
2706,Washim,.022574838,471,Retail sale in non-specialized stores,6
2706,Washim,.02255372,469,Non-specialized wholesale trade,7
2706,Washim,.014657894,910,"Libraries, archives, museums and other cultural activities",8
2706,Washim,.013256284,492,Other land transport,9
2706,Washim,.012739819,360,"Water collection, treatment and supply",10
2707,Amravati,.19999999,71,Mining of iron ores,1
2707,Amravati,.16865133,522,Support activities for transportation,2
2707,Amravati,.13294797,941,"Activities   of   business,   employers,  prof.  membership org.",3
2707,Amravati,.1104034,17,"Hunting, trapping and related service activities",4
2707,Amravati,.10855567,811,Combined facilities support activities,5
2707,Amravati,.10696761,24,Support services to forestry,6
2707,Amravati,.082180671,661,"Activities auxiliary to financial service act., except insurance …",7
2707,Amravati,.078447841,471,Retail sale in non-specialized stores,8
2707,Amravati,.073238917,329,Other manufacturing n.e.c.,9
2707,Amravati,.071428575,62,Extraction of natural gas,10
2708,Wardha,.3206394,302,Manufacture of railway locomotives and rolling stock,1
2708,Wardha,.12187455,663,Fund management activities,2
2708,Wardha,.11627298,478,Retail sale via stalls and markets,3
2708,Wardha,.10414746,652,Reinsurance,4
2708,Wardha,.058260832,471,Retail sale in non-specialized stores,5
2708,Wardha,.050170142,462,Wholesale of agricultural raw materials and live animals,6
2708,Wardha,.043478262,62,Extraction of natural gas,7
2708,Wardha,.042567212,104,Manufacture of vegetable and animal oils and fats,8
2708,Wardha,.036810756,16,Support activities to agriculture and post-harvest crop activities,9
2708,Wardha,.036477212,773,"Renting and leasing of other machinery, equip., tangible goods n.e.c.",10
2709,Nagpur,.61754453,642,Activities of holding companies,1
2709,Nagpur,.55453503,72,Mining of non-ferrous metal ores,2
2709,Nagpur,.42429864,799,Other reservation service activities,3
2709,Nagpur,.33118674,811,Combined facilities support activities,4
2709,Nagpur,.30014026,91,Support activities for petroleum and natural gas mining,5
2709,Nagpur,.2880922,191,Manufacture of coke oven products,6
2709,Nagpur,.25974026,99,Support activities for other mining and quarrying,7
2709,Nagpur,.25683513,32,Aquaculture,8
2709,Nagpur,.21061946,242,Manufacture of basic precious and other non-ferrous metals,9
2709,Nagpur,.19980727,51,Mining of hard coal,10
2710,Bhandara,.18498476,889,Other social work activities without accommodation n.e.c.,1
2710,Bhandara,.12002543,120,Manufacture of tobacco products,2
2710,Bhandara,.076513164,241,Manufacture of basic iron and steel,3
